Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bangladesh,BGD,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,5.77134167,6.96069362,7.343810472,9.257545774,12.12486244,13.44084108,13.15681747,13.67809474,14.94357624,16.56707066,16.65563246,15.91992909,14.54554809,15.29431233,16.27119219,20.88175803,21.59652113,22.78517429,23.23598683,23.54851293,24.66553205,27.78351418,30.14886476,30.17425305,32.13184488,33.80564705,36.15915602,37.28677529,39.21004341,41.50533381,47.0504057,48.82046561,49.41992595,48.27489601
Bangladesh,BGD,"Final consumption expenditure, etc. (% of GDP)",NE.CON.TETC.ZS,97.94927224,91.60789232,92.91148339,92.3623833,93.75626548,91.36444201,90.16739609,90.92675526,90.75855482,90.79214191,90.35441689,88.66864138,87.45561836,87.14021686,86.46022078,87.36043346,87.61566162,85.30188385,83.31641398,83.27201406,82.22333293,83.03154768,81.62356653,82.41616794,81.32545842,81.93724424,81.62038199,82.45986206,84.20396451,82.75254914,82.19631662,83.55875368,82.40851573,81.30555045
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.819141865,3.801998047,2.376466818,4.016088042,5.180672299,3.223280624,4.248570449,3.73226373,2.159202308,2.612351812,5.941307144,3.339355537,5.039133121,4.57437555,4.084703532,4.92505218,4.621967972,5.387551729,5.227531388,4.869230207,5.94450677,5.274014114,4.415410923,5.255994272,6.2705029,5.955478473,6.629337175,6.427842521,6.190431553,5.741158626,6.069339864,6.708097255,6.233705051,6.030242521
Bangladesh,BGD,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,243.5108965,246.0127857,245.2157834,248.3902853,254.4153651,255.6989587,259.5062591,262.0869783,260.7825622,260.8371954,269.6270631,272.171042,279.5383878,286.0499947,291.4636307,299.4399816,306.8012165,316.7459083,326.6806006,336.0283728,349.5053333,361.5308569,371.2207201,384.613043,402.8003249,421.1233114,443.6676994,467.0649808,490.9072519,513.7678115,539.0999313,568.7266369,597.0206457,625.3434838
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.938670651,1.027423928,-0.323967846,1.294574885,2.425650318,0.504526765,1.488977682,0.994472815,-0.497703505,0.020949687,3.369867455,0.94351762,2.706880844,2.329414225,1.892548872,2.736653943,2.458333987,3.241412124,3.136486394,2.861440876,4.010661462,3.440726773,2.680231314,3.607644218,4.728722083,4.548900631,5.353393515,5.273604876,5.104701069,4.656798102,4.930655303,5.49558697,4.974975128,4.744029926
Bangladesh,BGD,GINI index,SI.POV.GINI,,,,,25.88,,26.92,,,28.85,,,27.6,,,,33.46,,,,33.46,,,,,33.22,,,,,32.12,,,
Bangladesh,BGD,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,2.050727764,8.392107681,7.088516614,7.637616701,6.243734521,8.635557992,9.832603909,9.073244736,9.241445178,9.207858091,9.645583111,11.33135862,12.54438164,12.85978314,13.53977922,12.63956654,12.38433838,14.69811615,16.68358602,16.72798594,17.77666707,16.96845232,18.37643347,17.58383206,18.67454158,18.06275576,18.37961801,17.54013794,15.79603549,17.24745086,17.80368338,16.44124632,17.59148427,18.69444955
Bangladesh,BGD,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,14.4393913,17.62143939,17.81970476,16.97174682,15.91998154,16.31817405,16.70135975,16.01624821,16.31307279,16.72359471,17.05412214,16.89596849,17.30503485,17.94682661,18.40255659,19.11979335,19.99322178,20.72286618,21.63241709,22.1930558,23.02397236,23.08701681,23.14749946,23.4053086,24.02311178,24.52721422,24.65061883,24.46587336,24.20791085,24.37222997,24.41375017,25.15082762,26.541805,26.84163487
Bangladesh,BGD,Household final consumption expenditure per capita (constant 2005 US$),NE.CON.PRVT.PC.KD,266.6207195,263.3966115,248.3201911,248.1601425,259.0642805,255.5703522,255.9152676,255.9806433,258.9969026,254.7357925,267.5390406,260.5081623,264.7745414,267.912551,271.8751502,276.1773724,270.2052583,276.5208664,273.9224861,272.0982297,278.1090289,286.2251885,295.2051868,300.8196442,305.8890305,313.5153298,323.1208222,338.3769154,353.3190062,370.4821204,385.1187098,403.6642015,416.8025388,433.0106594
Bangladesh,BGD,Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,1.677148888,1.774448221,1.065426609,0.868934765,0.990259388,1.365834771,3.109391831,3.526643944,11.19116276,3.631955663,2.345109692,1.893907141,2.516608755,2.43586411,2.507676396,3.123474541,5.864456096,5.035704748,5.832301888,9.929384141,8.384911674,7.909458367,15.6270628,21.04094578,15.06386825,
